symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
EXC,2026-09-25,40.34,후보 아님 (트렌드 템플릿 2/8),2,False,False,True,False,False,False,False,True,False,True,14.14,-29.39,44.59,10.54,-9.53,0.92,44.4738,44.4738,46.1601,45.7184,-19.79,False,,,,False,False,37.5162
FANG,2026-09-25,186.67,후보 아님 (트렌드 템플릿 5/8),5,False,False,True,True,True,False,True,True,False,True,53.54,-5.92,213.31,14.27,-12.49,0.71,199.1612,199.1612,193.14,183.9443,-12.64,False,,,,False,False,173.6031
FAST,2026-09-25,50.43,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,True,True,False,True,False,True,52.53,-6.33,51.52,2.16,-2.12,0.93,49.4,49.4,46.8746,46.0139,-3.72,False,,,,False,False,46.8999
FER,2026-09-25,55.83,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,False,False,False,True,False,True,11.11,-29.8,59.4,6.39,-6.01,1.01,60.9077,60.9077,65.4464,66.1093,-24.94,False,,,,False,False,51.9219
FTNT,2026-09-25,173.46,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,86.87,56.26,181.37,4.56,-4.36,0.51,161.5648,161.5648,128.0228,116.1776,-2.95,False,,,,False,False,161.3178
GEHC,2026-09-25,66.63,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,False,False,False,True,False,True,25.25,-23.74,73.4,10.16,-9.22,1.03,68.4071,68.4071,68.1789,71.7529,-24.42,False,,,,False,False,61.9659
GILD,2026-09-25,150.93,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,True,True,True,False,True,63.64,3.02,154.2,2.17,-2.12,0.84,141.479,141.479,137.1313,135.994,-3.13,False,,,,False,False,140.3649
GOOG,2026-09-25,341.08,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,False,True,True,False,True,57.58,-2.71,359.98,5.54,-5.25,0.71,342.0032,342.0032,342.085,336.7876,-14.52,False,,,,False,False,317.2044
GOOGL,2026-09-25,343.92,후보 아님 (트렌드 템플릿 5/8),5,False,False,True,True,True,False,True,True,False,True,58.59,-1.93,364.17,5.89,-5.56,0.76,344.2904,344.2904,344.1959,338.2068,-14.58,False,,,,False,False,319.8456
HON,2026-09-25,212.55,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,True,False,False,False,True,False,True,26.26,-22.65,221.45,4.19,-4.02,0.56,223.5314,223.5314,231.7828,230.2114,-18.29,False,,,,False,False,197.6715
HONA,2026-09-25,158.78,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,,,170.32,7.27,-6.78,0.54,174.3518,174.3518,,,,False,,,,False,False,147.6654
IDXX,2026-09-25,519.26,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,15.15,-29.35,561.24,8.08,-7.48,0.6,546.7414,546.7414,563.2805,592.4129,-32.27,False,,,,False,False,482.9118
INTC,2026-09-25,123.0,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,95.96,123.69,127.44,3.61,-3.48,0.87,99.0524,99.0524,91.0739,79.2018,-12.73,False,,,,False,False,114.39
